"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"7","徽商期货","38,843","-475","海通期货","31,855","3,208","南华期货","36,815","-486"
"8","新湖期货","37,070","-8,240","东证期货","31,814","-911","通惠期货","36,112","97"
"9","光大期货","36,319","-8,668","南华期货","30,192","-1,414","兴业期货","35,020","347"
"10","东吴期货","32,578","-4,731","方正中期","24,686","-163","宝城期货","32,023","591"
"11","华安期货","29,287","-12,928","中粮期货","24,079","191","华安期货","31,681","457"
"12","浙商期货","28,838","-5,551","西南期货","21,507","-802","东吴期货","26,743","925"
"13","华闻期货","27,542","-8,742","长江期货","20,730","-577","东证期货","26,719","-770"
"14","南华期货","25,432","-5,720","徽商期货","20,260","-267","光大期货","24,289","-310"
"15","申银万国","25,182","-8,052","国贸期货","20,203","-350","浙商期货","21,613","-552"
"16","东海期货","20,895","-12,338","上海中期","20,014","-3,911","国泰君安","19,771","572"
"17","华西期货","20,505","-7,053","国泰君安","19,345","-917","五矿经易期货","18,124","439"
"18","银河期货","18,666","95","新湖期货","19,242","-628","东海期货","17,373","726"
